,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,abbr,yes healthcare,no healthcare,poverty,skin cancer,other cancer,teeth removed,,
Alabama,AL,82.5,17.5,19.3,8.2,8,52.7,,
Alaska,AK,82.9,17.2,11.2,3.2,5.3,42.2,,
Arizona,AZ,82.1,17.9,18.2,8.3,6.9,43.6,,
Arkansas,AR,79.8,20.2,18.9,6.6,6.8,53.8,,
California,CA,82.2,17.8,16.4,4.8,6,40.6,,
Colorado,CO,84.7,15.3,12,6.3,6.1,36.3,,
Connecticut,CT,89.5,10.6,10.8,5.8,7.1,43.2,,
Delaware,DE,89.2,10.8,12.5,6.7,7.3,45.9,,
Florida,FL,77.2,22.8,16.5,8.9,7.2,50.5,,
Georgia,GA,75,25,18.3,6.4,5.9,44.1,,
Hawaii,HI,90.2,9.8,11.4,4.5,5.8,43.4,,
Idaho,ID,79.8,20.2,14.8,7.1,6.8,41.3,,
Illinois,IL,85.7,14.3,14.4,4.2,5.3,42.9,,
Indiana,IN,82,18,15.2,5.6,6.3,47.8,,
Iowa,IA,90.4,9.6,12.2,5.9,6.8,40.4,,
Kansas,KS,82.4,17.6,13.6,6.2,6.8,39.9,,
Kentucky,KY,87.8,12.2,19.1,7.7,8.1,51.4,,
Louisiana,LA,77.3,22.7,19.8,5,6.5,48.7,,
Maine,ME,86.1,13.9,14.1,6.9,8,49.5,,
Maryland,MD,89,11,10.1,4.9,5.8,43.1,,
Massachusetts,MA,94.6,5.4,11.6,6.3,7.6,43.7,,
Michigan,MI,87.3,12.7,16.2,5.8,7.7,42.8,,
Minnesota,MN,91.2,8.8,11.5,5.1,6.3,35.6,,
Mississippi,MS,77,23,21.5,5.7,6.5,57.1,,
Missouri,MO,83.9,16.1,15.5,6,7.2,46.6,,
Montana,MT,83.9,16.2,15.4,6.8,7.5,43.1,,
Nebraska,NE,84.7,15.3,12.4,5.7,6.1,39.1,,
Nevada,NV,79.2,20.8,15.2,6.3,5.9,45.7,,
New Hampshire,NH,85.8,14.2,9.2,6.3,8,42.1,,
New Jersey,NJ,85,15,11.1,4.8,6,45.4,,
New Mexico,NM,81.2,18.8,21.3,5.2,6.9,46.2,,
New York,NY,85.4,14.6,15.9,4.1,5.8,47.3,,
North Carolina,NC,80,20,17.2,6.6,6.2,49.1,,
North Dakota,ND,89.6,10.5,11.5,4.4,6.2,42,,
Ohio,OH,87.5,12.5,15.8,6,6.4,46.5,,
Oklahoma,OK,82.8,17.2,16.6,5.9,6.2,48.3,,
Oregon,OR,86.5,13.5,16.6,7.4,7.9,40.4,,
Pennsylvania,PA,87.3,12.7,13.6,6.1,6.9,48.5,,
Rhode Island,RI,90.2,9.8,14.3,6.3,6.8,42.3,,
South Carolina,SC,78.7,21.3,18,7.2,7,49.2,,
South Dakota,SD,87.8,12.2,14.2,6.1,6.9,44.3,,
Tennessee,TN,82.3,17.7,18.3,6.8,7.4,50.3,,
Texas,TX,70.8,29.2,17.2,4.6,5.3,39.5,,
Utah,UT,83.8,16.2,11.7,6.6,5.5,33.2,,
Vermont,VT,91.6,8.4,12.2,6.4,7.1,42.2,,
Virginia,VA,84.2,15.8,11.8,5.5,6.3,40.8,,
Washington,WA,87.1,12.9,13.2,5.8,6.9,38.6,,
West Virginia,WV,87,13,18.3,7.6,7.6,60.3,,
Wisconsin,WI,89.6,10.4,13.2,5.5,7,39,,
Wyoming,WY,81.5,18.5,11.2,7.5,6.7,43.4,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
